"pid";"position";"company";"status";"fetcher_leads";"extension_leads"
9095;Strategic Account Manager;Frame.io;On hold;40;2
9108;Paralegal;Premier Law Group;On hold;10;0
9120;Principal Data Architect;Techmate Talent;Open;40;0
9128;Sweden - Enterprise Account Director;Coupa Software;Open;40;0
9132;Senior - Staff Software Engineer;Emplyd;Open;30;0
9137;Fullstack Engineer;Devo Technology;Open;40;0
9142;Web Developer;Core Digital Media;Open;40;0
9144;Director of Product Marketing;Socotra;Closed;20;0
9145;Simon Kucher_Director_211942;NGS Global;Open;40;0
9150;Online Advertisement Campaign Manager;Premier Law Group;Open;30;0
9163;Sales Development Representative;Drift;Open;30;0
9173;Instructional Assistant ;Kadiant;Open;40;0
9175;Software Engineer in Test;Bevi;Closed;50;0
9197;Java Platform Engineer;Data.world;Open;80;0
9213;Senior JavaScript Engineer, Labs;CarGurus;On hold;20;0
9229;Software Engineer - GraphQL;Neo4j;Open;10;0
9236;Buyer;Rowan International;Open;40;0
9246;Senior Software Developer;Critigen;On hold;40;0
9271;Arris Composites - Chief People Officer;NEA;Closed;30;0
9279;Talent Aquisition Advisor;GSoft;On hold;20;0
9289;Solutions Architect;RippleMatch;Open;20;0
9314;Cloud Engineering (Delivery);Devo Technology;On hold;40;0
9319;AWS Engineer;Veho;Open;40;0
9326;Graphic Designer;People Principles LLC;Closed;10;0
9364;Wealth Sales Support Specialist ;First Citizens Bank;Closed;40;0
9367;Principal Machine Learning Scientist (NLP);Techire.io;Open;30;0
9368;Software Engineer, Product;Rockerbox;Open;40;0
9371;Growth Account Executive;Drift;Open;30;0
9375;SDR Manager;Fetcher;Closed;80;0
9377;Manager Customer Success;Fetcher;On hold;10;0
9378;Product Success Manager;RippleMatch;Open;20;0
9410;Software Engineer - React/NodeJS;Veho;Open;40;1
9433;Commercial/Sales;AllStripes;Closed;36;0
9438;Backend Engineer;OpenPhone;On hold;10;0
9439;Frontend Engineer;OpenPhone;On hold;40;0
9440;Sagana Consulting, Principle;Sagana;New;0;2
9450;Regional Sales Manager, DACH;Human Security ;Closed;30;0
9457;Logistics Specialist;Whistle Technologies;Closed;40;0
9464;Sr. Salesforce.com Technical Architect;Synergy Information Services;Open;40;0
9467;.NET Developers;Coltech.io;Closed;0;5
9471;Senior Data Engineer;Initi8 Recruitment;Open;20;0
9474;Senior Commercial Underwriter, P&C;Gore Mutual Insurance;Open;40;0
9476;Sr. SAP Finance Business Analyst;Behr Paint;Closed;20;0
9496;SaaS Sales Exec;Trustero;Open;40;0
9500;Software Engineer;Chapter;Closed;20;0
9501;Technical Lead;IQ Inc;On hold;40;0
9502;Software Architect;IQ Inc;Open;40;0
9503;Compensation and Benefits Manager;RevZilla;Closed;40;6
9504;Senior Product Marketing Manager;RippleMatch;Open;5;0
9514;Backend Engineer with Go;Splice;On hold;30;0
9516;Eidos Project Management;BridgeBio;Open;40;0
9528;React Native Developer;Thryve Talent;On hold;40;0
9530;Product Lead;Chapter;Closed;60;0
9531;Medicare Advisor;Chapter;Closed;30;0
9532;Director of Business Development;Thrive Health;Open;40;5
9543;DACH - Account Development Representative Manager;Coupa Software;On hold;40;0
9545;Lead UX Designer - ADP;RMG Digital;On hold;10;0
9582;Microsoft Office 365 Developer;Hisense USA;Closed;10;0
9591;Developer Evangelist - Amy Caruso;Grit Matters;On hold;20;0
9594;Principal Software Engineer/Architect;ProTon Career Accelerator;On hold;40;0
9613;People Partner, Go-to-Market;Ribbon Home;Closed;10;0
9616;Director of Growth Marketing;Hipcamp;Open;20;1
9627;Product Manager, Application Integrity;Human Security ;On hold;40;0
9629;Director of Product, Beverages;Bevi;Open;30;0
9630;Backend Engineer;Sauce Technologies;Open;39;0
9636;Senior Software Development Engineer;Levelset;Open;40;0
9639;Senior Accountant;Ribbon Home;Open;20;0
9645;Program Coordinator- Syracuse;agilon health;Open;30;0
9646;Real Estate Manager;Stuf Storage;On hold;25;0
9647;Lead Full Stack Engineer;Stuf Storage;Closed;40;0
9653;Senior Backend Engineer;James Chase;Open;0;25
9654;Java Develpers;Coltech.io;Open;0;1
9671;Director of Partnerships;Hipcamp;On hold;20;3
9674;Director of Strategic Accounts;Socotra;Closed;30;0
9676;Principal Software Engineer;Splice;On hold;20;1
9677;Front-end Engineer (WIT);Splice;On hold;30;0
9679;SRE;Splice;On hold;20;0
9680;Full-stack Engineer (WIT);Splice;On hold;40;0
9694;Technical solution specialist;Apt Search & Selection;On hold;40;0
9699;Robo_President_201883A;NGS Global;On hold;40;0
9701;Director for Engineering  - London;Neo4j;Closed;20;1
9702;Ruby on Rails Tech Lead;Thryve Talent;On hold;40;0
9703;Front End Developer (Full Stack);Crossvale, Inc.;On hold;10;0
9710;CHN-C# Developer;Optiver Asia Pacific;On hold;20;0
9715;Cyber Crisis Simulation Specialist;Immersive Labs;Closed;29;0
9725;Business Development Representative;Mavrck;Open;0;2
9728;Enterprise Account Executive;Katalys Talent Acquisition Consulting;Closed;40;8
